Mês;Região Origem;Região Destino;Classe;Produtor;Volume (kg)
2026-06;Terceiros;APT;Integração;TLB;400000
2026-07;Terceiros;APT;Integração;TLB;400000
2026-08;Terceiros;APT;Integração;TLB;500000
2026-09;Terceiros;APT;Integração;TLB;500000
2026-10;Terceiros;APT;Integração;TLB;600000
2026-11;Terceiros;APT;Integração;TLB;700000
2026-12;Terceiros;APT;Integração;TLB;700000
2026-06;Terceiros;APT;Integração;FAM;20000
2026-07;Terceiros;APT;Integração;FAM;40000
2026-08;Terceiros;APT;Integração;FAM;40000
2026-09;Terceiros;APT;Integração;FAM;40000
2026-10;Terceiros;APT;Integração;FAM;40000
2026-11;Terceiros;APT;Integração;FAM;40000
2026-12;Terceiros;APT;Integração;FAM;40000
2026-06;Terceiros;APT;Parceria;FSH;80000
2026-07;Terceiros;APT;Parceria;FSH;80000
2026-08;Terceiros;APT;Parceria;FSH;95000
2026-09;Terceiros;APT;Parceria;FSH;95000
2026-10;Terceiros;APT;Parceria;FSH;110000
2026-11;Terceiros;APT;Parceria;FSH;110000
2026-12;Terceiros;APT;Parceria;FSH;110000
